method,n,energy_frac,rwdim,rrdim,nldim,nsr,time,error
clsQDEIM,2,0.999,14,16,16,33,0.834099966,0.0003812031966058586
SOPT,2,0.999,14,16,16,34,0.819182444,0.0003479512730713189
clsSOPT,2,0.999,14,16,16,34,0.810149479,0.0003406008801826568
QDEIM,2,0.999,14,16,16,34,0.840473315,0.0004289430239482723
clsQDEIM,2,0.999,14,16,16,34,0.8177403489999999,0.0003959332186893552
SOPT,2,0.999,14,16,16,35,0.808784033,0.0003461910196908107
clsSOPT,2,0.999,14,16,16,35,0.83139782,0.0003406008801825187
QDEIM,2,0.999,14,16,16,35,0.8574141559999999,0.000397013434238846
clsQDEIM,2,0.999,14,16,16,35,0.8758304299999999,0.0003995813521847988
SOPT,2,0.999,14,16,16,36,0.8278438379999999,0.0003907750522295681
clsSOPT,2,0.999,14,16,16,36,0.845802847,0.0003406008801826374
QDEIM,2,0.999,14,16,16,36,0.876223159,0.0003995349258043553
clsQDEIM,2,0.999,14,16,16,36,0.860608051,0.0004120232609099506
SOPT,2,0.999,14,16,16,37,0.857789095,0.0003927087567904114
clsSOPT,2,0.999,14,16,16,37,0.85097623,0.000340600880182649
QDEIM,2,0.999,14,16,16,37,0.884563032,0.0004046283122569723
clsQDEIM,2,0.999,14,16,16,37,0.870220581,0.0004144090499902346
SOPT,2,0.999,14,16,16,38,0.859255074,0.0003914060450323138
clsSOPT,2,0.999,14,16,16,38,0.874444034,0.000340600880182653
QDEIM,2,0.999,14,16,16,38,0.9043738139999999,0.000406649874801092
clsQDEIM,2,0.999,14,16,16,38,0.8913913530000001,0.000377796021335383
SOPT,2,0.999,14,16,16,39,0.886589165,0.0003667377006608685
clsSOPT,2,0.999,14,16,16,39,0.888745592,0.0003406008801826476
QDEIM,2,0.999,14,16,16,39,0.920468922,0.0004021354142268801
clsQDEIM,2,0.999,14,16,16,39,0.912340331,0.000379092718090609
SOPT,2,0.999,14,16,16,40,0.89285287,0.0003712231571476677
clsSOPT,2,0.999,14,16,16,40,0.9133999820000001,0.0003406008801826421
QDEIM,2,0.999,14,16,16,40,0.94265274,0.0003985905163868862
clsQDEIM,2,0.999,14,16,16,40,0.929105548,0.0003801106769194851
SOPT,2,0.999,14,16,16,41,0.917617824,0.0003663469996775722
clsSOPT,2,0.999,14,16,16,41,0.926443256,0.0003406008801826502
QDEIM,2,0.999,14,16,16,41,0.965382789,0.000386766407457193
clsQDEIM,2,0.999,14,16,16,41,0.970740449,0.0003782464368459629
SOPT,3,0.9999,19,21,21,22,0.6832513060000001,0.0003245161965686538
clsSOPT,3,0.9999,19,21,21,22,0.654852607,0.0001185644251519985
QDEIM,3,0.9999,19,21,21,22,0.6777391699999999,0.0002102548369490883
clsQDEIM,3,0.9999,19,21,21,22,0.692776274,0.000259043018404479
SOPT,3,0.9999,19,21,21,23,0.7101066899999999,0.0003701191790682943
clsSOPT,3,0.9999,19,21,21,23,0.665933145,0.0001325676906944502
QDEIM,3,0.9999,19,21,21,23,0.6951674729999999,0.0002080659983241926
clsQDEIM,3,0.9999,19,21,21,23,0.700800945,0.000360195836884395
SOPT,3,0.9999,19,21,21,24,0.722576,0.0001498793506839252
clsSOPT,3,0.9999,19,21,21,24,0.680344404,8.928399691277865e-05
QDEIM,3,0.9999,19,21,21,24,0.717425199,0.0002180462168904639
clsQDEIM,3,0.9999,19,21,21,24,0.71962556,0.0003152150921549586
SOPT,3,0.9999,19,21,21,25,0.748115258,0.0001162585406153712
clsSOPT,3,0.9999,19,21,21,25,0.698835872,8.69880685957821e-05
QDEIM,3,0.9999,19,21,21,25,0.733052094,0.0003047137631543689
clsQDEIM,3,0.9999,19,21,21,25,0.7452296980000001,0.0002791869759237261
