method,t,energy_frac,rxdim,rvdim,nldim,q,nqp,time,err_x,err_v
QDEIM,1.0,0.9999,5,15,20,300,837,0.225425,0.000246225,0.048539
SOPT,1.0,0.9999,5,15,20,320,1035,0.280146,8.47485e-05,0.0104181
gappy-POD,1.0,0.9999,5,15,20,320,945,0.253432,0.000195721,0.042731
QDEIM,1.0,0.9999,5,15,20,320,846,0.229696,0.000195721,0.042731
SOPT,1.0,0.9999,5,15,20,340,1080,0.288543,6.25651e-05,0.00955497
gappy-POD,1.0,0.9999,5,15,20,340,990,0.26698,0.000135168,0.0273978
QDEIM,1.0,0.9999,5,15,20,340,891,0.241944,0.000135168,0.0273978
SOPT,1.0,0.9999,5,15,20,360,1107,0.299777,3.38949e-05,0.00775326
gappy-POD,1.0,0.9999,5,15,20,360,1035,0.277639,0.000102425,0.0241314
QDEIM,1.0,0.9999,5,15,20,360,927,0.250955,0.000102425,0.0241314
SOPT,1.0,0.9999,5,15,20,380,1134,0.303898,1.7754e-05,0.00481069
gappy-POD,1.0,0.9999,5,15,20,380,1071,0.290076,5.95045e-05,0.0147469
QDEIM,1.0,0.9999,5,15,20,380,936,0.251007,5.95045e-05,0.0147469
SOPT,1.0,0.9999,5,15,20,400,1134,0.303106,1.77527e-05,0.00481472
gappy-POD,1.0,0.9999,5,15,20,400,1098,0.293968,3.32485e-05,0.00914151
QDEIM,1.0,0.9999,5,15,20,400,936,0.254802,3.32485e-05,0.00914151
EQP,1.0,0.99999,8,22,1150,2222,,0.22873,2.59099e-06,0.0309559
SOPT,1.0,0.99999,8,22,25,40,288,0.0829251,0.00130969,0.269708
gappy-POD,1.0,0.99999,8,22,25,40,225,0.0654899,0.00151084,0.325002
QDEIM,1.0,0.99999,8,22,25,40,306,0.0880752,0.00151084,0.325002
SOPT,1.0,0.99999,8,22,25,60,378,0.10504,0.00105482,0.178125
gappy-POD,1.0,0.99999,8,22,25,60,315,0.0885355,0.00126319,0.193841
QDEIM,1.0,0.99999,8,22,25,60,351,0.0981286,0.00126319,0.193841
SOPT,1.0,0.99999,8,22,25,80,477,0.130268,0.000888945,0.138613
gappy-POD,1.0,0.99999,8,22,25,80,342,0.0960827,0.00125599,0.193409
QDEIM,1.0,0.99999,8,22,25,80,378,0.108137,0.00125599,0.193409
SOPT,1.0,0.99999,8,22,25,100,567,0.155841,0.000714569,0.107955
gappy-POD,1.0,0.99999,8,22,25,100,369,0.102963,0.00116441,0.17465
QDEIM,1.0,0.99999,8,22,25,100,423,0.117534,0.00116441,0.17465
SOPT,1.0,0.99999,8,22,25,120,621,0.169812,0.000640091,0.0892271
gappy-POD,1.0,0.99999,8,22,25,120,450,0.121743,0.000939724,0.152429
QDEIM,1.0,0.99999,8,22,25,120,441,0.121387,0.000939724,0.152429
SOPT,1.0,0.99999,8,22,25,140,684,0.185499,0.000491238,0.0766329
gappy-POD,1.0,0.99999,8,22,25,140,486,0.133852,0.0008983,0.153809
QDEIM,1.0,0.99999,8,22,25,140,441,0.122134,0.0008983,0.153809
SOPT,1.0,0.99999,8,22,25,160,720,0.195485,0.000442591,0.0689364
gappy-POD,1.0,0.99999,8,22,25,160,513,0.140776,0.000835731,0.150454
QDEIM,1.0,0.99999,8,22,25,160,459,0.126998,0.000835731,0.150454
SOPT,1.0,0.99999,8,22,25,180,792,0.214151,0.000375507,0.0494591
gappy-POD,1.0,0.99999,8,22,25,180,549,0.154755,0.000833222,0.140416
QDEIM,1.0,0.99999,8,22,25,180,477,0.133625,0.000833222,0.140416
SOPT,1.0,0.99999,8,22,25,200,855,0.232304,0.000282174,0.0307672
gappy-POD,1.0,0.99999,8,22,25,200,603,0.16497,0.00069988,0.118809
QDEIM,1.0,0.99999,8,22,25,200,477,0.1326,0.00069988,0.118809
SOPT,1.0,0.99999,8,22,25,220,900,0.246161,0.000223449,0.0289506
gappy-POD,1.0,0.99999,8,22,25,220,657,0.179031,0.000585639,0.0994527
QDEIM,1.0,0.99999,8,22,25,220,477,0.131697,0.000585639,0.0994527
SOPT,1.0,0.99999,8,22,25,240,945,0.256945,0.000156981,0.0186654
gappy-POD,1.0,0.99999,8,22,25,240,738,0.20223,0.000425065,0.0814283
QDEIM,1.0,0.99999,8,22,25,240,477,0.13496,0.000425065,0.0814283
