method,t,n,ef,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clssopt,0.1,4,0.99999,4,21,32,120,3.257390,2.623148,11.8356,0.00510553,0.166382,8.1315e-05
sopt,0.1,5,0.999999,4,27,39,5,36.197658,24.577445,4.0692,0.00510558,0.166385,8.13151e-05
clssopt,0.1,5,0.999999,4,27,39,5,23.576680,24.372929,4.47257,0.00510657,0.166383,8.13657e-05
sopt,0.1,5,0.999999,4,27,39,10,17.450142,11.624282,4.47455,0.00510529,0.166386,8.13254e-05
clssopt,0.1,5,0.999999,4,27,39,10,18.393454,9.651548,5.02252,0.00510663,0.166383,8.13492e-05
sopt,0.1,5,0.999999,4,27,39,15,10.061834,8.320238,4.90724,0.00510536,0.166385,8.13228e-05
clssopt,0.1,5,0.999999,4,27,39,15,11.426253,10.345326,5.24125,0.00510638,0.166382,8.13478e-05
sopt,0.1,5,0.999999,4,27,39,20,12.140044,5.910749,5.31166,0.00510536,0.166385,8.13256e-05
clssopt,0.1,5,0.999999,4,27,39,20,9.650287,8.060554,5.632,0.00510629,0.166383,8.13383e-05
sopt,0.1,5,0.999999,4,27,39,25,9.708101,5.648642,5.57518,0.00510552,0.166386,8.13278e-05
clssopt,0.1,5,0.999999,4,27,39,25,6.921037,6.894532,6.00408,0.0051061,0.166383,8.13192e-05
sopt,0.1,5,0.999999,4,27,39,30,6.820905,5.320002,5.93165,0.00510577,0.166386,8.13249e-05
clssopt,0.1,5,0.999999,4,27,39,30,8.322592,5.190734,6.21852,0.00510576,0.166383,8.13154e-05
sopt,0.1,5,0.999999,4,27,39,35,6.447867,4.784052,6.44255,0.00510581,0.166386,8.13218e-05
clssopt,0.1,5,0.999999,4,27,39,35,6.399516,5.117732,6.53922,0.00510567,0.166383,8.13165e-05
sopt,0.1,5,0.999999,4,27,39,40,6.965630,4.002423,7.03333,0.00510567,0.166386,8.13197e-05
clssopt,0.1,5,0.999999,4,27,39,40,7.059466,4.311061,6.82692,0.0051058,0.166382,8.13232e-05
sopt,0.1,5,0.999999,4,27,39,45,6.205356,3.956044,7.15597,0.0051056,0.166386,8.13207e-05
clssopt,0.1,5,0.999999,4,27,39,45,5.917037,4.728346,7.08938,0.00510593,0.166383,8.13175e-05
sopt,0.1,5,0.999999,4,27,39,50,7.029422,4.524375,7.58139,0.00510571,0.166386,8.13235e-05
clssopt,0.1,5,0.999999,4,27,39,50,5.585708,3.930436,7.84183,0.00510574,0.166383,8.13216e-05
sopt,0.1,5,0.999999,4,27,39,55,6.037748,4.036247,7.83951,0.00510578,0.166386,8.13232e-05
clssopt,0.1,5,0.999999,4,27,39,55,4.462144,3.789506,7.83136,0.00510571,0.166383,8.1324e-05
sopt,0.1,5,0.999999,4,27,39,60,6.035887,3.627580,8.22605,0.00510576,0.166386,8.13222e-05
clssopt,0.1,5,0.999999,4,27,39,60,4.490410,3.691296,7.97708,0.00510559,0.166383,8.13237e-05
sopt,0.1,5,0.999999,4,27,39,65,5.456480,3.511895,8.72804,0.00510578,0.166385,8.13203e-05
clssopt,0.1,5,0.999999,4,27,39,65,4.469816,3.374175,8.8383,0.00510554,0.166383,8.1324e-05
sopt,0.1,5,0.999999,4,27,39,70,5.354855,3.680744,8.73812,0.00510586,0.166385,8.13208e-05
clssopt,0.1,5,0.999999,4,27,39,70,3.984202,3.416196,8.96059,0.00510553,0.166383,8.13212e-05
sopt,0.1,5,0.999999,4,27,39,75,4.994457,3.328510,9.11875,0.00510575,0.166385,8.13216e-05
clssopt,0.1,5,0.999999,4,27,39,75,3.813667,3.334199,9.13169,0.00510554,0.166383,8.13227e-05
sopt,0.1,5,0.999999,4,27,39,80,5.116648,3.170835,9.39627,0.00510581,0.166385,8.1321e-05
