method,energy_frac,rwdim,rrdim,nldim,nsr,nqp,time,error
QDEIM,0.99,2,3,3,800,3020,3.778774281,0.1021600569531394
SOPT,0.99,2,3,3,900,3512,3.883892913,0.1042888359013124
gappy-POD,0.99,2,3,3,900,3536,3.948904753,0.1013798623718528
QDEIM,0.99,2,3,3,900,3332,4.046410889,0.1021461991140616
SOPT,0.99,2,3,3,1000,3652,4.037607654,0.1038205801852993
gappy-POD,0.99,2,3,3,1000,3712,4.12245646,0.1015783550852306
QDEIM,0.99,2,3,3,1000,3536,4.46198018,0.1020553565275529
SOPT,0.99,2,3,3,1100,3864,4.273417686,0.103516936049488
gappy-POD,0.99,2,3,3,1100,3840,4.185851777,0.1016716919358555
QDEIM,0.99,2,3,3,1100,3664,4.547314379,0.1020391101743946
SOPT,0.99,2,3,3,1200,4008,4.365803362,0.1032367603864739
gappy-POD,0.99,2,3,3,1200,3904,4.343756613,0.1017061764074194
QDEIM,0.99,2,3,3,1200,3880,4.749510952,0.1020273910117057
SOPT,0.99,2,3,3,1300,4088,4.510022179,0.1028152758449054
gappy-POD,0.99,2,3,3,1300,4008,4.43334433,0.1018204584308555
QDEIM,0.99,2,3,3,1300,3944,4.866684539,0.1019656475172313
SOPT,0.99,2,3,3,1400,4096,4.473112736,0.1026488978572373
gappy-POD,0.99,2,3,3,1400,4032,4.46091091,0.1018659941065542
QDEIM,0.99,2,3,3,1400,4000,4.907462998,0.1019521946836377
SOPT,0.99,2,3,3,1500,4096,4.514699922,0.1024824866012578
gappy-POD,0.99,2,3,3,1500,4064,4.487478293,0.1018474369202109
QDEIM,0.99,2,3,3,1500,4080,5.116560502,0.1019307480652914
SOPT,0.99,2,3,3,1600,4096,4.495814621,0.1022629032763373
gappy-POD,0.99,2,3,3,1600,4080,4.423271657,0.1018889931869584
QDEIM,0.99,2,3,3,1600,4080,4.882480551,0.1019337136331478
SOPT,0.99,2,3,3,1700,4096,4.503617466,0.1021568753694308
gappy-POD,0.99,2,3,3,1700,4080,4.464171813,0.101902279103542
QDEIM,0.99,2,3,3,1700,4096,4.886926676,0.1019345743881264
SOPT,0.99,2,3,3,1800,4096,4.471037313,0.1017826772878403
gappy-POD,0.99,2,3,3,1800,4080,4.513814758,0.1019218940588645
QDEIM,0.99,2,3,3,1800,4096,4.949471878,0.1019313703296723
SOPT,0.99,2,3,3,1900,4096,4.582417597,0.1015843491262476
gappy-POD,0.99,2,3,3,1900,4096,4.536641292,0.1019296764953414
QDEIM,0.99,2,3,3,1900,4096,4.916407721,0.1019303752651047
SOPT,0.99,2,3,3,2000,4096,4.56096959,0.1017057148715208
gappy-POD,0.99,2,3,3,2000,4096,4.481863958,0.1019296971487429
QDEIM,0.99,2,3,3,2000,4096,5.155386763,0.1019296646807734
SOPT,0.99,2,3,3,2100,4096,4.494054767,0.1019245253372888
gappy-POD,0.99,2,3,3,2100,4096,4.50937376,0.1019296913346072
QDEIM,0.99,2,3,3,2100,4096,5.030164658,0.1019296913346072
EQPGlobal,0.999,3,5,4,2100,78,0.111608558,0.04404777517156234
EQP,0.999,3,5,4,5,5,0.034435359,0.1314997895952575
EQP,0.999,3,5,4,10,10,0.040829304,0.04631182212275915
EQP,0.999,3,5,4,15,15,0.045592163,0.04476400096407823
EQP,0.999,3,5,4,20,20,0.050438649,0.04412087973423234
EQP,0.999,3,5,4,25,25,0.065226988,0.04420076318594577
EQP,0.999,3,5,4,30,30,0.061680688,0.04405858108617586
EQP,0.999,3,5,4,35,35,0.066791001,0.04402598553929479
EQP,0.999,3,5,4,40,40,0.07988872000000001,0.04404467403564066
EQP,0.999,3,5,4,45,45,0.07763676900000001,0.04406900803992778
EQP,0.999,3,5,4,50,50,0.08257966800000001,0.044042504480725
EQP,0.999,3,5,4,60,60,0.100112035,0.04403273946249196
EQP,0.999,3,5,4,70,70,0.103063277,0.04404533547869422
EQP,0.999,3,5,4,80,78,0.111668961,0.04404777517156234
EQP,0.999,3,5,4,90,78,0.111628862,0.04404777517156234
EQP,0.999,3,5,4,100,78,0.11218275,0.04404777517156234
EQP,0.999,3,5,4,110,78,0.112583073,0.04404777517156234
