method,t,n,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
gnat,0.1,2,6,6,5,95,3.324712,2.315841,3.06705,2.06662e-05,0.0134553,0.00185159
clsdopt,0.1,2,6,6,5,100,6.631677,84.775959,0.243158,0.00127361,0.997145,0.0410346
clsqdeim,0.1,2,6,6,5,100,3.477362,2.681278,0.56124,2.11455e-05,0.0104244,0.00194896
clsgnat,0.1,2,6,6,5,100,5.234970,5.660986,0.36655,0.00127634,,
dopt,0.1,2,6,6,5,100,26.590269,24.344024,0.231479,0.00127361,0.997145,0.0410346
qdeim,0.1,2,6,6,5,100,9.335925,10.879365,0.357613,1.90973e-05,0.0146869,0.00177486
gnat,0.1,2,6,6,5,100,3.579623,2.413497,0.581913,2.06373e-05,0.0133784,0.00185267
clsdopt,0.1,3,6,9,9,5,10.453437,9.043437,0.0829722,0.00127361,0.997145,0.0410347
clsqdeim,0.1,3,6,9,9,5,7.059850,10.996765,0.18883,1.63465e-05,0.00766619,0.000996625
clsgnat,0.1,3,6,9,9,5,39.351281,11.237089,0.114008,0.00127634,,
dopt,0.1,3,6,9,9,5,5.465261,7.184579,0.0761581,0.00127361,0.997145,0.0410347
qdeim,0.1,3,6,9,9,5,10.795193,8.382682,0.20612,1.18909e-05,0.00798714,0.0012361
gnat,0.1,3,6,9,9,5,9.841145,9.147920,0.19289,1.80137e-05,0.00874294,0.00131446
clsdopt,0.1,3,6,9,9,10,4.338749,3.273134,0.107548,0.00127361,0.997145,0.0410347
clsqdeim,0.1,3,6,9,9,10,4.744961,4.841504,0.216719,1.91794e-05,0.00984475,0.00133818
clsgnat,0.1,3,6,9,9,10,15.644979,18.128639,0.113744,0.00127634,,
dopt,0.1,3,6,9,9,10,3.148803,5.202854,0.084932,0.00127361,0.997145,0.0410347
qdeim,0.1,3,6,9,9,10,7.723483,5.300337,0.210859,1.64748e-05,0.0117401,0.00156075
gnat,0.1,3,6,9,9,10,7.917201,21.452908,0.225198,1.85606e-05,0.00892897,0.00132441
clsdopt,0.1,3,6,9,9,15,5.448271,2.915996,0.12324,0.00127361,0.997145,0.0410347
clsqdeim,0.1,3,6,9,9,15,32.300017,7.545077,0.256256,1.58482e-05,0.0101841,0.00163025
clsgnat,0.1,3,6,9,9,15,12.497264,11.171610,0.14895,0.00127634,,
dopt,0.1,3,6,9,9,15,3.572826,5.901813,0.108377,0.00127361,0.997145,0.0410347
qdeim,0.1,3,6,9,9,15,4.817197,171.716114,0.239414,1.56471e-05,0.0112392,0.00152451
gnat,0.1,3,6,9,9,15,5.387690,6.446509,0.260543,1.86748e-05,0.00895035,0.00132549
clsdopt,0.1,3,6,9,9,20,3.510172,2.672534,0.140057,0.00127361,0.997145,0.0410347
clsqdeim,0.1,3,6,9,9,20,10.211530,5.157791,0.252246,2.45107e-05,0.0197265,0.00369298
clsgnat,0.1,3,6,9,9,20,9.592123,10.976154,0.158964,0.00127634,,
dopt,0.1,3,6,9,9,20,3.532717,3.683414,0.122986,0.00127361,0.997145,0.0410347
qdeim,0.1,3,6,9,9,20,5.696238,4.383086,0.282217,1.43876e-05,0.0105592,0.00146376
gnat,0.1,3,6,9,9,20,4.315609,12.741130,0.275901,1.8693e-05,0.00898249,0.00132942
clsdopt,0.1,3,6,9,9,25,4.462837,3.218698,0.145849,0.00127361,0.997145,0.0410347
