method,t,n,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
qdeim,0.05,6,7,55,69,150,8.396342,19.487489,1.15822,2.95708e-06,0.000728844,9.23831e-05
sopt,0.05,6,7,55,69,160,5.379166,7.849134,1.105,1.3866e-06,0.000357011,2.28271e-05
qdeim,0.05,6,7,55,69,160,7.558060,17.423296,1.18293,2.15286e-06,0.000563876,5.66597e-05
sopt,0.05,6,7,55,69,170,5.221318,8.577028,1.12733,1.34911e-06,0.000360221,2.13999e-05
qdeim,0.05,6,7,55,69,170,8.567973,13.058210,1.19196,1.70116e-06,0.000462603,3.71291e-05
sopt,0.05,6,7,55,69,180,6.035714,6.751276,1.14253,1.30645e-06,0.00035835,2.24417e-05
qdeim,0.05,6,7,55,69,180,7.444376,13.490282,1.23325,1.68009e-06,0.000442497,3.49441e-05
sopt,0.05,6,7,55,69,190,5.466518,7.089852,1.19211,1.50568e-06,0.000362352,2.31018e-05
qdeim,0.05,6,7,55,69,190,6.956679,11.926029,1.23789,1.41747e-06,0.000409678,3.0542e-05
sopt,0.05,6,7,55,69,200,5.231754,7.642905,1.18631,1.56215e-06,0.000360134,2.21511e-05
qdeim,0.05,6,7,55,69,200,7.299312,16.120430,1.28937,1.34275e-06,0.000401979,2.76371e-05
