method,t,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
sopt,0.1,4,7,18,140,4.587758,1.656290,12.4389,1.91849e-05,0.00837847,0.000422564
qdeim,0.1,4,7,18,140,3.948938,3.489729,7.88848,3.88365e-06,0.00156704,3.97395e-05
gnat,0.1,4,7,18,140,2.943339,1.904459,7.4966,6.75932e-06,0.00143524,3.57691e-05
clssopt,0.1,4,7,18,150,1.684721,1.316798,14.5973,9.29975e-06,0.00296077,0.000153551
clsqdeim,0.1,4,7,18,150,2.095086,1.297689,13.8809,1.79901e-05,0.00910249,0.00034111
clsgnat,0.1,4,7,18,150,1919496.316552,2.294856,8.42296,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,7,18,150,4.054065,1.635949,12.8628,1.8503e-05,0.00408877,0.000202633
qdeim,0.1,4,7,18,150,3.893501,1.513820,8.48323,3.63612e-06,0.00190857,7.07751e-05
gnat,0.1,4,7,18,150,2.913470,1.514701,8.36311,5.66409e-06,0.000787008,3.34949e-05
clssopt,0.1,4,7,18,160,1.801730,1.297955,14.9976,1.06174e-05,0.00287367,0.000151901
clsqdeim,0.1,4,7,18,160,1.778174,1.440776,14.1922,1.03412e-05,0.00497832,0.000192592
clsgnat,0.1,4,7,18,160,1641552.317569,632864.534019,8.4978,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,7,18,160,3.965411,1.527544,13.6891,1.49883e-05,0.00373713,0.000212424
qdeim,0.1,4,7,18,160,3.370850,1.353419,8.50941,3.55478e-06,0.0020487,7.96604e-05
gnat,0.1,4,7,18,160,2.758585,1.341857,8.25199,5.63294e-06,0.00101343,3.66852e-05
clssopt,0.1,4,7,18,170,1.707678,1.232023,14.8628,1.20422e-05,0.00256547,0.000130021
clsqdeim,0.1,4,7,18,170,1.830026,1.483314,14.7097,1.61929e-05,0.00737957,0.000279317
clsgnat,0.1,4,7,18,170,1833139.875594,1.868688,9.16544,0.0611299,0.165944,8.24708e-05
sopt,0.1,4,7,18,170,3.790349,1.749952,13.5564,1.49192e-05,0.00314124,0.000178884
qdeim,0.1,4,7,18,170,3.293314,1.449235,10.3275,2.71688e-06,0.00184157,6.70889e-05
gnat,0.1,4,7,18,170,3.118249,1.645563,8.28339,5.22124e-06,0.00103112,5.59038e-05
clssopt,0.1,4,7,18,180,1.881252,1.383320,15.1042,1.4134e-05,0.00304581,0.000145973
clsqdeim,0.1,4,7,18,180,2.297269,1.350702,14.6859,1.42787e-05,0.00529444,0.000194606
