p,method,n,energy_frac,rwdim,rrdim,nldim,nsr,time,error
0.3,thSOPT,3,0.9999,19,21,21,47,5.000695,1.028563495,8.530622274076694e-05
1,QDEIM,3,0.9999,19,21,21,47,4.059680,1.0788752,0.0005312979802043036
0.3,clsthQDEIM,3,0.9999,19,21,21,47,3.956145,1.08090199,0.002653344077106765
0.3,thQDEIM,3,0.9999,19,21,21,47,5.027714,1.014779063,0.0008882479851264621
,SOPT,3,0.9999,19,21,21,49,4.414544,1.009978613,8.479699620476482e-05
0.3,clsthSOPT,3,0.9999,19,21,21,49,4.122777,1.005755808,0.0005757340373460535
0.3,thSOPT,3,0.9999,19,21,21,49,4.427732,1.044693777,8.479699620472949e-05
1,QDEIM,3,0.9999,19,21,21,49,4.639117,1.043328418,0.0004414639108042257
0.3,clsthQDEIM,3,0.9999,19,21,21,49,4.569953,0.925368254,0.002551067334584441
0.3,thQDEIM,3,0.9999,19,21,21,49,5.278023,1.052747577,0.0007465387246828761
,SOPT,3,0.9999,19,21,21,51,4.994640,1.057324056,0.0001275541314282762
0.3,clsthSOPT,3,0.9999,19,21,21,51,4.870569,1.029529796,0.0004711874237391998
0.3,thSOPT,3,0.9999,19,21,21,51,4.985187,1.085341873,0.0001275541314284727
1,QDEIM,3,0.9999,19,21,21,51,3.749079,1.081574118,0.0005169363837072338
0.3,clsthQDEIM,3,0.9999,19,21,21,51,3.638047,0.944892434,0.002137180274002676
0.3,thQDEIM,3,0.9999,19,21,21,51,3.923467,1.092525642,0.0001512885405434105
,SOPT,3,0.9999,19,21,21,53,3.789632,1.082405084,0.000114058225305585
0.3,clsthSOPT,3,0.9999,19,21,21,53,4.609429,1.059331881,0.000360260481776364
0.3,thSOPT,3,0.9999,19,21,21,53,4.283904,1.117141583,0.00011405822530575
1,QDEIM,3,0.9999,19,21,21,53,4.204480,1.103354229,0.0004648533390335263
0.3,clsthQDEIM,3,0.9999,19,21,21,53,4.145951,0.970095817,0.002202478523860051
0.3,thQDEIM,3,0.9999,19,21,21,53,3.900521,1.128809948,0.000323220474060707
,SOPT,3,0.9999,19,21,21,55,3.898622,1.116151919,0.000114857664840766
0.3,clsthSOPT,3,0.9999,19,21,21,55,4.256112,1.098556172,0.000231361392988754
0.3,thSOPT,3,0.9999,19,21,21,55,3.450791,1.148524972,0.000114857664840621
1,QDEIM,3,0.9999,19,21,21,55,3.451419,1.136956125,0.000554140860253944
0.3,clsthQDEIM,3,0.9999,19,21,21,55,3.388919,0.987468419,0.002168018436647824
0.3,thQDEIM,3,0.9999,19,21,21,55,4.108917,1.153275915,0.0003313302692331183
,SOPT,3,0.9999,19,21,21,57,3.522781,1.150146973,0.0001477891980345935
0.3,clsthSOPT,3,0.9999,19,21,21,57,4.043936,1.131664854,0.0002519103206165596
0.3,thSOPT,3,0.9999,19,21,21,57,3.885026,1.185443507,0.0001477891980348055
1,QDEIM,3,0.9999,19,21,21,57,5.302892,1.168826768,0.0005802009557243411
