method,t,xx,vv,ee,q,condV,condE,time,ErrX,ErrV,ErrE
clsgnat,0.05,7,14,33,100,4509374.593040,4888576.962414,4.2198,0.0500529,,
sopt,0.05,7,14,33,100,4.352981,3.048420,0.671744,3.16783e-06,0.000360662,5.18378e-05
qdeim,0.05,7,14,33,100,8.631350,2.589010,0.624269,2.8347e-06,0.000718008,9.10156e-05
gnat,0.05,7,14,33,100,4.187248,1.874728,0.463192,1.6366e-05,0.00494598,0.000585136
clssopt,0.05,7,14,33,110,2.630633,1.654860,,0.0149563,5.40739e+11,2.32659e+23
clsqdeim,0.05,7,14,33,110,2.921285,1.914435,0.906204,0.000548742,0.278442,0.0674457
clsgnat,0.05,7,14,33,110,3545436.840344,4271445.435419,,nan,nan,nan
sopt,0.05,7,14,33,110,5.131208,2.960655,0.643317,2.89988e-06,0.000365288,4.9975e-05
qdeim,0.05,7,14,33,110,6.638530,2.898137,0.670351,3.62301e-06,0.000762124,9.95979e-05
gnat,0.05,7,14,33,110,4.502144,2.184047,0.44461,9.11631e-06,0.00105913,0.000127821
clssopt,0.05,7,14,33,120,2.461922,1.854158,,0.00806083,7.50671e+11,4.75428e+23
clsqdeim,0.05,7,14,33,120,2.750589,1.962784,0.858619,1.42907e-05,0.00791598,0.00157912
clsgnat,0.05,7,14,33,120,6064157.079080,4311429.041404,2.82283,0.0500529,,
sopt,0.05,7,14,33,120,4.288843,3.059671,0.728406,2.70732e-06,0.000344543,4.55812e-05
qdeim,0.05,7,14,33,120,6.285898,2.870493,0.697969,6.6834e-06,0.00141175,0.000218886
gnat,0.05,7,14,33,120,4.411995,1.894501,0.573398,4.05189e-06,0.000691525,6.27832e-05
clssopt,0.05,7,14,33,130,2.854046,1.748198,,0.0140914,7.75093e+11,4.82593e+23
clsqdeim,0.05,7,14,33,130,2.355882,1.616227,0.889817,2.09233e-05,0.00542257,0.000973089
clsgnat,0.05,7,14,33,130,4009114.910802,5471899.047020,1.61904,0.0500529,,
sopt,0.05,7,14,33,130,4.134137,2.714006,0.763055,2.71893e-06,0.000356624,4.36509e-05
qdeim,0.05,7,14,33,130,5.462850,2.574701,0.723772,8.46274e-06,0.00159723,0.00025112
gnat,0.05,7,14,33,130,3.699186,2.129814,0.493103,5.33437e-06,0.000477483,3.85129e-05
clssopt,0.05,7,14,33,140,2.471407,2.088197,,0.0238972,2.04315e+10,2.48668e+20
clsqdeim,0.05,7,14,33,140,2.402903,2.417109,0.919621,1.29543e-05,0.00351353,0.000646477
clsgnat,0.05,7,14,33,140,5307846.241296,5596193.740156,1.59655,0.0500529,,
sopt,0.05,7,14,33,140,4.039819,3.105222,0.777501,2.48477e-06,0.000354404,4.31876e-05
qdeim,0.05,7,14,33,140,5.335805,2.939331,0.837568,1.22934e-05,0.00217122,0.000342796
gnat,0.05,7,14,33,140,3.380204,2.792318,0.555809,4.67231e-06,0.000619593,5.8981e-05
clssopt,0.05,7,14,33,150,2.301992,1.778588,,0.0298367,8.68132,5.66621
clsqdeim,0.05,7,14,33,150,2.257951,1.541805,0.96143,8.64643e-06,0.0019077,0.0003941
clsgnat,0.05,7,14,33,150,3662366.596036,5499702.368110,,6.18974e+54,4.79899e+69,nan
sopt,0.05,7,14,33,150,4.047801,2.716937,0.823469,2.19972e-06,0.000344678,3.81578e-05
qdeim,0.05,7,14,33,150,4.912934,2.364241,0.798827,1.25184e-05,0.00218834,0.000363074
gnat,0.05,7,14,33,150,3.863270,1.841438,0.511043,2.87049e-06,0.000473102,7.81749e-05
clssopt,0.05,7,14,33,160,2.305333,1.634422,,0.0282838,13.829,22.5851
clsqdeim,0.05,7,14,33,160,2.140185,1.591614,1.06935,4.83529e-06,0.00108254,0.000192078
clsgnat,0.05,7,14,33,160,3365685.789342,4313857.836835,1.99756,0.0500529,,
sopt,0.05,7,14,33,160,3.969273,2.681416,0.850885,1.92191e-06,0.000340057,3.24488e-05
qdeim,0.05,7,14,33,160,5.951047,2.323806,0.778083,1.61662e-05,0.00215752,0.000332026
gnat,0.05,7,14,33,160,3.123877,1.918447,0.575107,2.43895e-06,0.000374379,5.87054e-05
clssopt,0.05,7,14,33,170,2.349825,1.644743,,0.0212534,41.1782,114.37
clsqdeim,0.05,7,14,33,170,2.188806,1.656687,1.03174,4.18981e-06,0.000619879,0.000125772
clsgnat,0.05,7,14,33,170,3012218.169931,4137056.848473,5.42371,0.0500529,,
sopt,0.05,7,14,33,170,3.831894,2.757177,0.916071,2.23885e-06,0.000344703,3.3458e-05
qdeim,0.05,7,14,33,170,4.963718,2.527167,0.767031,8.08553e-06,0.00101389,0.000162901
